"caseid","sample_weight","prospective_persfin","pred_favored_win","pred_correct_win","health","mortgage","gender","age"
243,1.7747,2,1,0,2,1,0,61
244,0.5951,4,1,0,4,0,0,20
245,1.09,3,1,1,3,0,0,62
246,1.3752,3,1,0,4,1,1,40
247,1.9983,3,1,0,4,0,0,24
248,0.9782,3,1,1,4,1,0,47
250,1.6716,3,1,1,3,1,0,61
251,0.9079,5,1,0,5,0,1,63
253,0.3896,4,1,0,5,1,0,51
254,0.7686,3,0,1,3,1,1,50
256,1.1111,3,1,0,5,0,0,60
258,0.7403,3,1,0,3,1,1,63
261,0.3998,4,1,0,4,0,1,25
262,0.5753,5,1,1,3,0,1,72
263,1.065,4,1,0,2,1,1,60
264,1.4371,3,1,1,4,1,0,62
266,0.45,5,0,1,1,0,0,80
267,0.4501,1,1,0,1,0,0,84
268,0.8659,5,1,0,4,0,0,22
269,0.669,4,1,0,4,0,1,26
272,2.1522,2,1,1,4,1,0,38
273,0.9867,3,1,1,2,1,1,77
274,2.8333,3,1,0,5,0,1,19
275,0.7999,3,1,0,5,0,1,90
277,0.6269,3,1,1,3,0,1,59
280,0.6249,4,0,1,4,0,0,23
281,0.5072,4,1,0,5,0,1,26
282,0.5105,3,1,1,4,1,0,59
284,0.3645,3,1,0,4,0,0,77
285,1.8583,4,0,0,4,0,0,28
286,2.1499,4,1,1,5,0,0,27
288,2.3323,5,1,1,4,0,1,20
289,0.8281,5,1,1,5,1,1,40
294,1.5336,4,1,0,2,0,1,49
296,1.5715,3,1,1,3,0,0,48
298,0.5825,4,1,0,2,0,0,24
300,4.9413,4,1,0,3,0,0,78
301,2.2578,4,0,1,5,1,0,24
302,3.1606,3,0,1,2,0,1,63
303,0.2707,3,1,0,3,0,0,71
306,1.8633,3,1,1,3,0,1,30
310,0.8406,1,0,1,3,1,1,42
311,0.6353,3,1,0,3,0,1,24
314,0.3689,4,1,1,4,1,1,76
315,0.9248,3,1,0,4,1,0,25
316,1.211,2,1,1,4,1,0,60
318,0.4021,3,1,1,1,0,1,61
319,0.848,3,1,0,4,1,1,48
320,1.4135,5,1,0,5,1,0,39
321,1.7324,1,1,0,5,1,1,50
322,2.1638,3,1,0,4,0,1,36
323,0.8176,3,1,0,4,0,0,58
324,0.5139,4,1,0,3,0,0,30
325,1.2811,3,1,0,3,1,1,52
327,1.4407,2,1,1,3,1,0,70
329,0.7003,3,1,1,3,1,0,41
330,1.4827,4,1,0,3,0,0,23
332,0.3883,2,1,1,5,1,0,46
333,0.321,4,1,0,2,0,1,72
334,1.519,3,1,0,2,0,1,59
336,0.6642,2,1,0,5,0,0,35
338,1.5945,3,1,0,3,1,1,55
340,0.4316,4,1,0,4,0,0,28
344,0.441,3,1,0,3,1,1,58
346,0.9501,2,0,1,3,0,1,57
348,0.6459,2,1,1,2,0,0,87
349,1.7995,5,1,0,3,0,1,47
350,0.8343,5,1,0,5,1,1,59
353,1.0031,3,1,0,3,1,0,48
354,0.9308,4,1,0,4,1,1,47
356,0.9029,3,0,1,3,0,0,24
357,0.8875,4,1,1,3,1,0,45
359,0.9212,2,1,0,4,1,0,60
360,2.7309,4,0,1,3,0,1,66
361,1.3567,3,1,0,4,1,0,30
363,0.791,3,1,1,2,0,0,90
365,1.1691,2,1,1,5,0,1,70
369,0.2821,4,1,0,3,1,0,61
370,0.2745,4,1,0,5,0,1,40
371,0.8515,4,1,1,2,1,0,40
374,0.9835,3,1,1,3,0,0,48
375,1.911,5,1,0,2,0,0,59
376,0.4695,4,1,0,2,1,0,58
377,1.2941,3,1,0,2,1,1,37
379,0.682,4,1,0,2,1,0,36
380,1.1175,2,1,1,4,1,0,41
382,2.8674,4,1,1,4,0,0,21
383,0.6645,3,0,0,3,1,0,35
384,1.2454,3,1,0,3,1,0,75
385,1.1297,3,1,1,4,0,0,88
386,0.8703,3,1,0,4,1,1,50
388,0.408,2,0,1,3,1,0,63
392,0.8124,4,1,1,5,0,1,59
393,3.9002,3,1,1,4,0,0,79
395,0.3335,4,1,0,3,0,1,76
396,0.8877,2,1,1,4,1,1,48
397,0.3915,1,1,0,2,0,1,66
398,0.8151,3,0,1,3,0,0,54
400,0.3765,4,1,1,4,0,0,26
401,1.4879,3,1,1,2,1,1,66
402,1.5294,5,1,0,4,1,1,42
404,0.5678,4,1,1,3,0,0,21
405,0.8984,4,1,1,4,0,0,47
407,2.0306,5,1,0,2,0,0,52
408,0.304,4,1,0,5,0,0,35
409,1.7989,2,0,1,4,0,0,55
410,0.3305,4,1,0,4,1,1,61
412,0.4818,5,1,0,5,1,1,36
415,0.6462,3,1,0,3,0,0,72
417,0.9703,4,1,0,4,0,0,80
418,0.9243,5,1,0,5,0,0,52
419,1.5163,4,1,1,3,0,1,21
422,1.152,4,1,1,2,0,0,55
423,0.9901,4,1,0,5,0,1,47
425,2.0591,3,1,0,4,1,1,73
426,1.3674,3,1,0,3,1,1,27
427,0.9972,5,1,1,5,1,1,41
428,0.5991,3,1,1,3,1,0,27
431,1.6725,3,1,1,3,0,0,66
432,1.0576,4,1,1,5,1,0,51
434,0.5773,3,1,1,5,1,0,34
435,0.3204,3,1,1,4,0,0,80
436,0.5472,2,0,1,3,1,0,26
437,1.3235,1,1,1,1,0,1,48
438,0.688,3,1,1,4,0,1,35
441,0.8281,3,1,1,3,1,1,48
443,0.2355,3,1,0,4,1,1,67
445,2.0325,4,0,1,4,1,0,27
446,0.4286,3,1,1,3,1,0,71
447,1.9702,3,1,0,3,1,1,42
448,1.6477,3,1,0,3,0,1,36
451,1.0503,5,1,0,5,1,0,35
453,0.5648,3,0,1,3,0,1,49
454,1.3864,3,1,0,5,0,1,68
455,0.4356,3,1,1,4,1,0,63
456,0.3667,3,1,1,5,0,1,88
458,0.8961,2,1,0,4,0,1,71
461,0.4492,4,1,0,2,0,0,55
464,0.7986,2,0,1,3,0,1,69
465,2.4789,4,0,0,1,0,1,26
469,0.7861,3,0,1,4,0,0,74
471,0.4019,3,1,0,4,0,1,40
472,0.5083,3,0,1,5,0,1,81
473,1.2607,2,1,1,4,1,1,49
474,0.868,3,1,1,4,1,0,59
475,0.8406,3,1,0,4,1,1,42
479,1.981,3,0,1,3,1,0,63
482,0.8179,3,1,1,3,1,1,71
483,0.3068,3,0,0,2,0,1,73
484,0.4001,3,0,1,2,0,1,83
485,0.5552,4,1,1,3,1,1,40
486,0.965,4,1,1,5,0,0,56
487,0.4612,3,0,0,1,1,1,43
488,1.58,2,1,0,4,1,1,46
490,3.185,3,0,1,3,1,0,21
491,0.297,3,1,1,4,0,0,74
494,1.247,3,1,0,5,0,1,67
495,0.5958,4,1,0,2,0,1,65
497,1.0222,3,0,1,2,0,1,66
498,1.291,3,1,0,3,1,0,54
502,0.6976,3,1,0,3,1,1,45
504,1.9701,5,1,0,4,1,0,40
505,0.2724,5,1,0,3,0,1,34
507,0.2572,4,1,1,5,1,0,71
509,0.4165,5,1,0,1,0,0,34
511,0.6882,3,0,1,3,1,0,68
513,0.5097,3,1,1,3,1,1,76
514,0.4626,4,1,0,5,1,1,69
515,0.2743,3,1,1,2,1,1,68
517,0.6855,2,0,1,4,1,0,64
518,1.5146,5,1,1,4,0,0,52
523,0.6308,4,1,0,4,0,0,43
524,1.103,5,1,1,5,1,1,26
525,1.6995,5,1,0,4,0,0,37
526,0.3822,3,0,1,3,0,1,69
528,0.5819,5,0,1,3,1,0,21
529,2.0364,4,1,1,4,1,1,42
530,0.2404,3,1,1,5,0,0,50
532,1.9583,2,1,1,2,1,1,60
537,0.6282,3,1,1,4,0,1,53
538,1.0743,4,0,0,4,0,1,29
539,0.7408,4,1,0,3,0,1,53
540,1.0049,5,1,0,4,0,1,32
544,0.7597,4,1,1,4,1,1,29
545,1.1625,3,1,1,2,0,1,62
547,1.7256,3,1,0,5,1,0,50
548,1.0609,3,1,0,3,1,0,42
551,0.363,3,1,1,4,1,0,53
552,1.0263,3,1,0,5,0,1,65
554,0.6772,3,0,1,3,1,0,38
556,1.7585,4,1,1,4,1,0,51
557,1.2357,3,1,1,3,1,1,34
558,0.363,4,0,1,3,1,1,54
559,0.368,1,0,1,2,1,0,53
560,1.0417,5,1,0,3,0,0,56
561,0.6261,5,1,0,4,0,0,27
563,0.8537,4,1,0,3,0,0,66
566,1.0295,3,1,1,3,0,1,70
567,0.9369,3,1,0,3,0,0,79
568,0.8694,3,1,0,3,0,1,63
569,2.031,4,1,0,2,0,1,54
570,0.7157,4,0,0,3,0,1,50
573,0.9402,4,1,0,4,0,0,23
574,0.909,5,1,0,3,1,0,46
575,1.995,2,0,1,3,1,0,33
576,1.8113,4,1,1,4,1,1,78
577,1.3308,3,1,0,3,0,1,70
578,0.547,3,1,0,4,1,0,42
579,0.741,3,1,0,3,0,0,55
581,2.4264,2,1,0,5,1,0,28
582,1.065,3,1,1,5,0,1,80
