"caseid","sample_weight","prospective_persfin","pred_favored_win","pred_correct_win","health","mortgage","gender","age"
1059,0.5798,3,1,1,3,1,0,37
1060,0.8383,3,1,1,3,0,0,68
1061,1.5881,5,1,1,3,0,1,74
1062,0.5539,3,1,0,5,0,1,36
1063,0.5831,3,1,0,5,0,0,52
1064,0.3823,4,1,1,3,0,0,24
1066,0.3856,4,1,0,2,0,0,62
1067,1.1787,3,1,0,3,0,0,73
1068,1.777,3,1,0,5,0,1,18
1069,0.4635,3,1,0,1,1,1,53
1070,1.9173,2,0,1,3,0,0,33
1073,0.9882,3,1,0,4,0,1,68
1074,0.3553,4,1,1,3,0,1,29
1075,1.145,4,1,0,3,0,1,80
1080,1.1182,3,1,0,3,1,0,60
1081,0.6224,4,1,1,3,1,1,49
1083,0.3259,3,0,0,2,0,1,38
1085,0.7024,2,1,0,3,0,1,69
1086,1.1893,4,1,0,4,0,0,28
1087,1.0337,3,1,1,2,1,0,52
1088,0.7231,3,0,1,4,1,0,45
1091,0.3727,4,1,1,4,1,0,32
1092,0.6057,3,1,1,1,0,0,80
1094,1.8483,3,1,0,2,1,1,36
1095,1.2437,4,1,0,4,0,0,18
1096,0.3966,3,1,1,4,0,1,71
1099,1.2202,3,1,0,5,1,0,40
1101,3.7374,2,1,1,4,0,0,18
1102,2.2878,5,1,1,5,1,0,22
1103,0.7123,4,1,1,4,1,1,66
1105,0.9831,4,1,0,2,0,1,26
1108,0.5772,2,0,1,4,1,1,54
1111,1.0507,3,1,0,3,0,0,20
1113,0.1499,3,0,1,2,0,0,55
1115,1.1374,3,1,1,4,0,0,67
1116,0.7841,4,1,0,4,0,0,29
1117,0.4501,4,1,0,3,1,1,55
1123,0.3058,2,1,1,4,1,1,64
1128,0.7838,4,1,1,4,1,1,34
1130,1.1962,3,1,0,4,1,1,72
1131,0.3497,2,1,0,2,1,1,71
1133,0.5044,3,0,1,3,0,0,23
1136,0.5802,3,1,0,2,0,1,21
1138,1.041,3,0,1,2,1,0,46
1139,0.564,3,1,0,3,1,1,57
1140,4.4884,4,0,1,5,0,1,24
1141,0.7867,3,1,0,3,0,0,85
1142,1.2979,3,1,1,3,1,1,56
1143,0.8542,3,0,1,3,1,0,38
1145,0.3248,3,1,1,4,1,1,30
1147,1.5775,3,1,0,4,1,1,41
1148,1.192,4,1,0,2,0,0,50
1150,1.4224,5,1,0,5,0,1,44
1151,0.4918,2,1,0,4,0,1,27
1152,0.5239,4,1,0,4,0,1,41
1153,0.6113,5,1,0,5,0,1,50
1154,0.8612,5,1,1,4,0,0,68
1155,1.1148,3,1,1,4,0,0,71
1156,1.2359,3,0,1,4,0,1,67
1157,1.3154,5,0,0,3,0,1,25
1158,0.3676,4,1,0,3,1,1,38
1159,0.2684,3,1,0,4,0,0,81
1160,1.3942,3,1,0,3,1,0,64
1162,0.2824,4,1,1,3,0,0,68
1163,0.4174,3,1,0,2,0,1,29
1164,0.5985,3,1,0,5,1,1,59
1170,0.6486,3,1,0,4,0,0,37
1171,1.6069,4,0,1,4,1,1,50
1172,0.8256,3,1,1,3,0,1,90
1173,0.5026,3,1,1,4,0,1,76
1175,1.4348,4,1,1,5,0,1,19
1176,1.513,3,1,1,4,1,1,61
1177,1.1226,3,1,0,3,1,1,52
1180,1.5059,3,1,0,4,1,1,66
