"vote_choice","respondent_id","approve_EU","NHS_improved","income","female","age","wt_combined_main","party_id","taxspend","vote"
1,2114,1,2,5,0,85,0.990154981613159,2,4,FALSE
2,2116,5,2,14,0,46,1.05658102035522,2,1,TRUE
2,2119,2,1,3,1,28,0.608714997768402,2,3,TRUE
2,2121,4,1,6,0,64,0.415214002132416,2,1,TRUE
4,2122,1,2,5,0,60,0.83042699098587,2,4,FALSE
1,2123,3,1,12,1,67,0.831993997097015,2,0,FALSE
1,2124,2,3,5,1,78,0.637004971504211,2,0,FALSE
1,2125,3,5,7,0,70,0.83042699098587,2,3,FALSE
4,2131,1,3,4,0,72,1.09219801425934,2,0,FALSE
2,2133,4,1,3,1,75,1.6756089925766,2,5,TRUE
1,2138,2,3,12,0,40,1.01905298233032,2,2,FALSE
2,2141,5,3,14,1,65,0.831993997097015,2,9,TRUE
2,2142,5,2,15,0,52,1.52857899665833,2,7,TRUE
2,2151,4,1,8,0,43,1.05658102035522,2,6,TRUE
1,2152,2,3,3,0,74,0.430503994226456,2,5,FALSE
1,2153,2,3,6,1,68,0.431317001581192,2,0,FALSE
2,2156,4,3,1,0,43,1.45386600494385,2,1,TRUE
2,2157,5,3,12,0,46,0.726933002471924,2,3,TRUE
1,2158,4,4,14,1,35,1.21959400177002,2,3,FALSE
3,2159,4,3,13,1,32,1.73688805103302,2,2,FALSE
2,2160,5,1,11,1,27,1.73688805103302,2,3,TRUE
2,2164,4,2,14,1,50,1.21959400177002,2,0,TRUE
2,2166,1,3,15,0,35,1.45386600494385,2,0,TRUE
4,2167,1,3,9,0,58,1.18475604057312,2,2,FALSE
2,2180,4,2,9,1,47,0.854846000671387,2,0,TRUE
1,2184,4,2,10,1,56,1.0942599773407,2,1,FALSE
1,2188,4,2,12,1,54,1.6864709854126,2,2,FALSE
2,2190,2,2,8,1,49,0.562156975269318,2,1,TRUE
1,2191,3,3,4,0,89,1.25602197647095,2,5,FALSE
3,2208,4,3,13,0,45,1.25738096237183,2,0,FALSE
1,2210,5,4,15,0,22,3.38021993637085,2,4,FALSE
1,2218,3,3,13,0,39,1.45386600494385,2,1,FALSE
1,2223,5,2,9,0,59,1.18475604057312,2,1,FALSE
1,2232,1,4,3,1,69,0.431317001581192,2,4,FALSE
1,2234,2,3,5,0,67,0.861009001731873,2,5,FALSE
4,2237,1,2,4,0,76,0.990154981613159,2,2,FALSE
1,2240,2,3,3,1,74,0.431317001581192,2,1,FALSE
3,2244,4,3,5,0,26,0.572951972484589,2,1,FALSE
2,2245,3,3,7,0,47,1.05658102035522,2,0,TRUE
1,2246,3,4,12,1,60,1.29394900798798,2,4,FALSE
3,2248,4,2,11,1,59,0.928272008895874,2,2,FALSE
4,2249,2,3,15,0,54,1.13697803020477,2,5,FALSE
1,2250,3,1,8,1,45,0.476884007453918,2,3,FALSE
4,2251,1,1,9,0,33,0.616548001766205,2,5,FALSE
1,2254,2,4,3,1,69,0.928272008895874,2,1,FALSE
3,2257,4,3,13,0,41,1.13697803020477,2,6,FALSE
2,2271,4,1,8,1,69,0.89664500951767,2,2,TRUE
1,2274,3,3,9,1,50,0.921272993087769,2,1,FALSE
2,2277,5,3,8,0,45,2.01042509078979,2,1,TRUE
4,2278,5,3,13,0,41,1.34028398990631,2,7,FALSE
4,2279,1,1,13,1,49,1.6864709854126,2,3,FALSE
2,2281,4,4,8,1,36,0.562156975269318,2,2,TRUE
1,2282,3,3,14,0,46,1.34028398990631,2,3,FALSE
2,2283,1,2,7,1,27,1.60119497776031,2,3,TRUE
1,2287,5,2,13,0,32,1.23309695720673,2,1,FALSE
2,2290,4,2,13,0,39,1.13697803020477,2,1,TRUE
2,2293,4,1,5,1,35,0.476884007453918,2,2,TRUE
1,2295,4,4,9,0,71,1.18475604057312,2,1,FALSE
2,2296,4,2,4,0,29,0.788388013839722,2,1,TRUE
3,2299,5,3,7,1,40,0.60979700088501,2,2,FALSE
3,2303,2,1,3,1,60,0.464136004447937,2,6,FALSE
1,2304,2,1,13,1,70,0.928272008895874,2,6,FALSE
1,2305,3,4,5,0,18,2.29240393638611,2,2,FALSE
1,2306,1,1,9,0,44,1.13697803020477,2,1,FALSE
2,2307,2,2,7,1,55,1.39240801334381,2,3,TRUE
1,2310,1,3,7,1,49,0.953768014907837,2,1,FALSE
4,2312,1,1,4,1,45,0.476884007453918,2,5,FALSE
3,2314,4,2,8,0,54,1.13697803020477,2,1,FALSE
1,2319,4,3,3,1,43,0.953768014907837,2,3,FALSE
2,2322,4,2,12,1,54,1.43065202236176,2,5,TRUE
2,2327,5,2,6,0,36,0.628691017627716,2,0,TRUE
4,2328,2,1,6,1,57,1.02657401561737,2,0,FALSE
1,2330,5,2,7,0,68,2.56160092353821,2,1,FALSE
1,2345,3,2,7,0,67,1.0246410369873,2,3,FALSE
1,2347,4,3,15,1,36,1.05476999282837,2,2,FALSE
1,2348,2,4,9,0,60,0.512319982051849,2,2,FALSE
1,2349,3,2,8,1,34,1.50215303897858,2,4,FALSE
1,2350,2,2,7,1,57,1.02657401561737,2,2,FALSE
2,2355,4,1,10,0,56,0.415214002132416,2,5,TRUE
2,2358,2,2,1,0,51,1.01905298233032,2,2,TRUE
2,2360,4,2,10,0,58,0.83042699098587,2,2,TRUE
1,2362,2,2,3,0,63,1.66085398197174,2,3,FALSE
1,2364,3,3,6,0,70,0.968325018882751,2,3,FALSE
4,2371,2,2,6,1,62,0.970152974128723,2,5,FALSE
4,2377,3,1,7,0,52,0.670141994953156,2,4,FALSE
1,2378,2,1,7,1,26,1.60119497776031,2,4,FALSE
2,2380,2,2,6,1,68,1.0942599773407,2,1,TRUE
1,2381,1,1,4,1,72,0.547129988670349,2,5,FALSE
1,2382,1,2,12,1,22,1.91397798061371,2,3,FALSE
1,2383,4,4,15,0,50,0.670141994953156,2,5,FALSE
1,2390,4,4,14,0,46,1.05658102035522,2,3,FALSE
1,2396,2,1,7,0,63,0.926523983478546,2,1,FALSE
4,2399,1,1,3,0,59,0.463261991739273,2,4,FALSE
1,2401,4,2,12,1,27,1.35831105709076,2,3,FALSE
1,2413,1,3,11,0,65,1.24564003944397,2,2,FALSE
1,2414,2,1,7,1,78,1.27400994300842,2,3,FALSE
2,2415,5,1,12,0,56,1.24564003944397,2,0,TRUE
2,2422,3,2,13,1,44,1.32948899269104,2,0,TRUE
1,2424,3,2,11,1,45,0.886327028274536,2,2,FALSE
1,2425,2,4,7,1,79,1.32092702388763,2,6,FALSE
3,2426,4,4,7,0,71,0.861009001731873,2,0,FALSE
3,2432,4,2,7,0,61,0.83042699098587,2,3,FALSE
3,2441,4,3,8,0,70,1.85304594039917,2,4,FALSE
1,2444,5,1,13,1,62,0.928272008895874,2,0,FALSE
4,2447,2,3,4,0,75,1.0654970407486,2,1,FALSE
1,2448,4,3,13,0,51,1.13697803020477,2,3,FALSE
1,2449,4,4,7,1,76,1.42143797874451,2,5,FALSE
2,2451,3,2,6,1,48,0.427423000335693,2,5,TRUE
4,2458,2,2,9,0,46,1.52857899665833,2,2,FALSE
4,2463,4,3,11,1,24,2.07617807388306,2,4,FALSE
2,2464,4,3,4,1,45,0.60979700088501,2,1,TRUE
2,2465,4,4,6,0,62,0.59237802028656,2,2,TRUE
1,2467,4,1,15,1,47,1.21959400177002,2,3,FALSE
1,2468,4,3,10,1,37,0.60979700088501,2,1,FALSE
3,2469,3,1,13,0,34,1.57677495479584,2,3,FALSE
1,2473,4,3,13,0,32,1.36367905139923,2,2,FALSE
1,2474,1,3,7,0,45,0.628691017627716,2,4,FALSE
1,2477,4,3,9,1,18,2.39411997795105,2,6,FALSE
1,2479,2,2,9,1,34,0.751076996326447,2,4,FALSE
4,2481,1,1,7,1,77,0.785982012748718,2,1,FALSE
3,2485,4,3,5,0,65,0.512319982051849,2,2,FALSE
3,2488,4,1,15,1,46,1.05476999282837,2,3,FALSE
1,2490,4,3,5,0,74,1.0246410369873,2,0,FALSE
1,2494,2,4,14,1,62,0.513287007808685,2,0,FALSE
3,2495,5,2,5,0,54,1.25738096237183,2,3,FALSE
4,2496,1,3,9,1,59,1.02657401561737,2,2,FALSE
4,2497,1,2,10,1,64,1.02657401561737,2,0,FALSE
3,2503,1,2,7,1,56,2.05314803123474,2,0,FALSE
2,2505,5,1,6,0,62,0.83042699098587,2,1,TRUE
1,2507,2,3,5,0,75,0.477492988109589,2,3,FALSE
2,2509,3,1,11,0,35,1.01905298233032,2,3,TRUE
3,2510,5,1,9,1,41,0.854846000671387,2,2,FALSE
1,2515,3,3,15,0,39,1.25738096237183,2,5,FALSE
4,2517,1,2,4,0,69,0.512319982051849,2,3,FALSE
1,2519,4,3,5,1,61,0.513287007808685,2,3,FALSE
2,2521,3,4,6,1,24,1.45524895191193,2,0,TRUE
2,2523,3,3,11,1,24,0.970166027545929,2,0,TRUE
1,2524,3,2,10,1,31,1.21743094921112,2,1,FALSE
1,2530,4,3,12,1,50,1.77265298366547,2,1,FALSE
2,2531,4,1,14,0,52,1.58487105369568,2,2,TRUE
2,2539,4,1,12,0,79,0.990154981613159,2,1,TRUE
1,2540,2,5,4,0,78,0.49507799744606,2,1,FALSE
3,2543,2,3,11,0,62,0.447477996349335,2,2,FALSE
2,2546,2,1,4,0,66,0.447477996349335,2,3,TRUE
1,2548,4,3,7,0,55,0.447477996349335,2,5,FALSE
1,2549,3,4,7,1,52,0.460635989904404,2,2,FALSE
2,2550,5,3,5,0,84,0.514596998691559,2,0,TRUE
1,2551,4,4,4,0,73,0.447477996349335,2,0,FALSE
1,2552,2,1,15,0,42,1.09824001789093,2,2,FALSE
1,2555,3,2,15,0,43,1.09824001789093,2,3,FALSE
1,2560,5,4,15,1,52,0.921272993087769,2,2,FALSE
2,2565,4,3,15,1,47,2.30399298667908,2,2,TRUE
2,2578,4,3,4,0,78,1.28694701194763,2,0,TRUE
2,2582,2,3,10,0,55,1.11908996105194,2,0,TRUE
1,2585,2,3,5,0,71,1.11908996105194,2,3,FALSE
1,2586,3,2,11,0,43,1.37328398227692,2,2,FALSE
3,2587,4,2,15,0,63,1.11908996105194,2,2,FALSE
3,2589,4,2,2,1,37,0.57599800825119,2,2,FALSE
1,2593,4,3,6,0,56,0.55954498052597,2,1,FALSE
1,2594,4,4,7,1,87,0.85843300819397,2,0,FALSE
1,2595,3,3,6,1,70,0.560600996017456,2,6,FALSE
1,2603,5,3,7,1,82,1.71686494350433,2,5,FALSE
1,2614,1,3,7,0,73,1.11908996105194,2,0,FALSE
1,2621,2,2,9,0,82,0.643473982810974,2,2,FALSE
2,2682,4,3,5,0,67,1.11908996105194,2,3,TRUE
2,2696,4,2,2,0,65,1.11908996105194,2,0,TRUE
